Time 0	sarc.Sarc Const	Mark Time	Marks	
0.0001	1.6300	2.0978	Pacer[TTL]	
0.0041	1.6300	2.0987	Pacer[TTL]	
0.0081	1.6290	4.0157	Pacer[TTL]	
0.0121	1.6290	4.0168	Pacer[TTL]	
0.0161	1.6300	5.9337	Pacer[TTL]	
0.0201	1.6310	5.9348	Pacer[TTL]	
0.0241	1.6290	7.8507	Pacer[TTL]	
0.0281	1.6300	7.8518	Pacer[TTL]	
0.0321	1.6300	9.7688	Pacer[TTL]	
0.0361	1.6300	9.7698	Pacer[TTL]	
0.0401	1.6300	11.6868	Pacer[TTL]	
0.0441	1.6300	11.6877	Pacer[TTL]	
0.0481	1.6300	13.6047	Pacer[TTL]	
0.0521	1.6310	13.6058	Pacer[TTL]	
0.0561	1.6300	15.5218	Pacer[TTL]	
0.0601	1.6310	15.5228	Pacer[TTL]	
0.0641	1.6310	17.4398	Pacer[TTL]	
0.0681	1.6310	17.4408	Pacer[TTL]	
0.0721	1.6310	19.3577	Pacer[TTL]	
0.0761	1.6320	19.3588	Pacer[TTL]	
0.0801	1.6320	21.2757	Pacer[TTL]	
0.0841	1.6320	21.2767	Pacer[TTL]	
0.0881	1.6310	23.1928	Pacer[TTL]	
0.0921	1.6320	23.1947	Pacer[TTL]	
0.0961	1.6310	25.1107	Pacer[TTL]	
0.1001	1.6310	25.1118	Pacer[TTL]	
0.1041	1.6320	27.0287	Pacer[TTL]	
0.1081	1.6310	27.0297	Pacer[TTL]	
0.1121	1.6320	28.9468	Pacer[TTL]	
0.1161	1.6320	28.9477	Pacer[TTL]	
0.1201	1.6320	30.8648	Pacer[TTL]	
0.1241	1.6320	30.8657	Pacer[TTL]	
0.1281	1.6330	32.7818	Pacer[TTL]	
0.1321	1.6320	32.7828	Pacer[TTL]	
0.1361	1.6330	34.6998	Pacer[TTL]	
0.1401	1.6330	34.7007	Pacer[TTL]	
0.1441	1.6330	36.6178	Pacer[TTL]	
0.1481	1.6330	36.6187	Pacer[TTL]	
0.1521	1.6320	38.5358	Pacer[TTL]	
0.1561	1.6320	38.5367	Pacer[TTL]	
0.1601	1.6320	40.4528	Pacer[TTL]	
0.1641	1.6320	40.4537	Pacer[TTL]	
0.1681	1.6320	42.3708	Pacer[TTL]	
0.1721	1.6320	42.3717	Pacer[TTL]	
0.1761	1.6320	44.2888	Pacer[TTL]	
0.1801	1.6310	44.2897	Pacer[TTL]	
0.1841	1.6320	46.2067	Pacer[TTL]	
